key,character,index,branch,name,cost,requires,mods,unlock,phase,desc
mirren_20,mirren,20,Larceny,Pickpocket,360,mirren_19,,sigil_pickpocket,EA,Unlocks the Sigil of the Pickpocket: the dead don't need godshards.
mirren_21,mirren,21,Gambit,Loaded Chamber,30,,CritChance(0.02),,EA,+2% crit chance.
mirren_22,mirren,22,Gambit,Double or Nothing,45,mirren_21,CritDamage(0.08),,EA,+8% crit damage.
mirren_23,mirren,23,Gambit,Sleight of Hand,65,mirren_22,FireRate(1.03),,EA,+3% fire rate.
mirren_24,mirren,24,Gambit,House Edge,95,mirren_23,CritChance(0.02),,EA,+2% crit chance.
mirren_25,mirren,25,Gambit,Coin Burst,130,mirren_24,"ExplodeOnKill(chance: 0.05, radius: 1.6, damage: 0.4)",,EA,Kills have a 5% chance to burst in gilded shrapnel (40% weapon damage).
mirren_26,mirren,26,Gambit,Marked Cards,130,mirren_24,"ApplyStatus(status: Mark, chance: 0.04, stacks: 1, duration: 3.0)",,EA,Hits have a 4% chance to Mark.
mirren_27,mirren,27,Gambit,Bank Shot,175,mirren_25; mirren_26,"Ricochet(bounces: 1, range: 5.0)",,EA,Shots ricochet to 1 more target.
mirren_28,mirren,28,Gambit,High Roller,230,mirren_27,CritDamage(0.1),,EA,+10% crit damage.
mirren_29,mirren,29,Gambit,All In,300,mirren_28,CritChance(0.02); Damage(1.03),,EA,+2% crit chance and +3% weapon damage.
mirren_30,mirren,30,Gambit,Loaded Dice,400,mirren_29,,sigil_loaded_dice,EA,Unlocks the Sigil of Loaded Dice: fate owes you one.
epoch_01,epoch,1,Hourglass,Borrowed Minute,20,,CooldownRate(1.03),,EA,Actives recover 3% faster.
epoch_02,epoch,2,Hourglass,Rewound Flesh,30,epoch_01,Regen(0.3),,EA,Regenerate 0.3 health per second. Wounds forget they happened.
epoch_03,epoch,3,Hourglass,Spare Seconds,45,epoch_02,DashRecharge(0.95),,EA,Dashes recharge 5% faster.
epoch_04,epoch,4,Hourglass,Unhurried,65,epoch_03,CooldownRate(1.03),,EA,Actives recover 3% faster.
epoch_05,epoch,5,Hourglass,Chronal Ward,90,epoch_04,MaxShield(15.0),,EA,+15 shield. A blow that never arrives cannot hurt you.
epoch_06,epoch,6,Hourglass,Leap Year,90,epoch_04,UltCharge(1.04),,EA,Ultimate charges 4% faster.
epoch_07,epoch,7,Hourglass,Clockwright,125,epoch_05; epoch_06,CooldownRate(1.04),,EA,Actives recover 4% faster.
epoch_08,epoch,8,Hourglass,Unwritten Wounds,170,epoch_07,MaxHealth(15.0),,EA,+15 max health.
epoch_09,epoch,9,Hourglass,Eternal Moment,230,epoch_08,CooldownRate(1.03); UltCharge(1.03),,EA,Actives recover 3% faster; ultimate charges 3% faster.
epoch_10,epoch,10,Hourglass,Borrowed Hour,320,epoch_09,,sigil_borrowed_hour,EA,Unlocks the Sigil of the Borrowed Hour: time runs faster for you.
epoch_11,epoch,11,Entropy,Aging Touch,25,,"ApplyStatus(status: Curse, chance: 0.04, stacks: 1, duration: 3.0)",,EA,Hits have a 4% chance to Curse.
epoch_12,epoch,12,Entropy,Wound of Years,40,epoch_11,"ApplyStatus(status: Bleed, chance: 0.05, stacks: 1, duration: 3.0)",,EA,Hits have a 5% chance to Bleed.
epoch_13,epoch,13,Entropy,Hour of Decay,55,epoch_12,"DamageVsStatus(status: Curse, mult: 1.05)",,EA,+5% damage to Cursed enemies.
epoch_14,epoch,14,Entropy,Entropic Lens,80,epoch_13,Range(1.05),,EA,+5% weapon range.
epoch_15,epoch,15,Entropy,Doom Clock,110,epoch_14,"Doomstack(stacks: 12, burst: 1.5)",,EA,Every hit winds a doom clock; at 12 it bursts for 150% weapon damage.
epoch_16,epoch,16,Entropy,Widening Hours,110,epoch_14,Area(1.05),,EA,+5% weapon area.
epoch_17,epoch,17,Entropy,Age of Rust,150,epoch_15; epoch_16,"DamageVsStatus(status: Bleed, mult: 1.05)",,EA,+5% damage to Bleeding enemies.
epoch_18,epoch,18,Entropy,Time Wounds,200,epoch_17,"ApplyStatus(status: Curse, chance: 0.04, stacks: 1, duration: 4.0)",,EA,Hits gain another 4% chance to Curse; curses last up to 4 seconds.
epoch_19,epoch,19,Entropy,Heat Death,260,epoch_18,"Damage(1.03); DamageVsStatus(status: Curse, mult: 1.04)",,EA,+3% weapon damage and +4% damage to Cursed enemies.
epoch_20,epoch,20,Entropy,Slow Rot,360,epoch_19,,sigil_slow_rot,EA,Unlocks the Sigil of Slow Rot: your shots age the world they pass through.
epoch_21,epoch,21,Pendulum,Swing Weight,30,,FireRate(1.03),,EA,+3% fire rate.
epoch_22,epoch,22,Pendulum,Escapement,45,epoch_21,ProjectileSpeed(1.06),,EA,+6% projectile speed.
epoch_23,epoch,23,Pendulum,Metronome,65,epoch_22,Damage(1.03),,EA,+3% weapon damage.
epoch_24,epoch,24,Pendulum,Tick and Tock,95,epoch_23,FireRate(1.03),,EA,+3% fire rate.
epoch_25,epoch,25,Pendulum,Stolen Moment,130,epoch_24,UltCharge(1.05),,EA,Ultimate charges 5% faster. The Stolen Second is never far.
epoch_26,epoch,26,Pendulum,Balance Wheel,130,epoch_24,MoveSpeed(1.02),,EA,+2% move speed. Borrowed Time favors those in motion.
epoch_27,epoch,27,Pendulum,Double Beat,175,epoch_25; epoch_26,"EchoShot(every: 10, damage: 0.35)",,EA,Every 10th shot echoes at 35% damage.
epoch_28,epoch,28,Pendulum,Mainspring,230,epoch_27,FireRate(1.04),,EA,+4% fire rate.
epoch_29,epoch,29,Pendulum,Perfect Time,300,epoch_28,CritChance(0.02); UltCharge(1.03),,EA,+2% crit chance; ultimate charges 3% faster.
epoch_30,epoch,30,Pendulum,Second Hand,400,epoch_29,,sigil_second_hand,EA,Unlocks the Sigil of the Second Hand: some shots happen twice.
